Bussi 91: 12:42 5404, Hirsimoisio
Bussi 91: 12:42 5406, Tervasuontie
Bussi 91: 12:43 5408, Laalahti
Bussi 91: 12:44 5410, Aitolahti kko
Bussi 91: 12:45 5412, Ruokosenraitti
Bussi 91: 12:45 5414, Ruokonen
Bussi 91: 12:46 5416, Pättinniemi th
Bussi 91: 12:47 5419, Lampu
Bussi 91: 12:49 5420, Diabeteskeskus
Bussi 91: 12:51 5418, Lampu
Bussi 91: 12:52 5422, Hirviniemi th
