Bussi 91: 11:42 5404, Hirsimoisio
Bussi 91: 11:42 5406, Tervasuontie
Bussi 91: 11:43 5408, Laalahti
Bussi 91: 11:44 5410, Aitolahti kko
Bussi 91: 11:45 5412, Ruokosenraitti
Bussi 91: 11:45 5414, Ruokonen
Bussi 91: 11:46 5416, Pättinniemi th
Bussi 91: 11:47 5419, Lampu
Bussi 91: 11:49 5420, Diabeteskeskus
Bussi 91: 11:51 5418, Lampu
Bussi 91: 11:52 5422, Hirviniemi th
