stop_id,stop_code,stop_name,stop_lat,stop_lon
5039,5039,Hoitokoti,61.50477,23.82475
5007,5007,TAYS,61.50311,23.81256
5005,5005,TAMK,61.50245,23.80620
5003,5003,Teiskontie 25,61.50169,23.79979
5001,5001,Teiskontie 13,61.50049,23.79367
0513,0513,Itsenäisyydenkatu 25,61.49909,23.78487
0511,0511,Itsenäisyydenkatu 13,61.49907,23.78123
0505,0505,Rautatieasema H,61.49852,23.77061
0514,0514,Koskipuisto G,61.49724,23.76606
0522,0522,Linja-autoasema,61.49361,23.77022
2500,2500,Verotalo,61.48781,23.76932
2502,2502,Hatanpään vt 25,61.48598,23.76475
2506,2506,Hatanpään vt 31,61.48303,23.76232
2508,2508,Vihilahti,61.48056,23.76299
2510,2510,Hatanpään koulu,61.47504,23.76398
2512,2512,Rantaperkiö,61.47345,23.75971
2514,2514,Kannistonkatu,61.47140,23.75508
2516,2516,Talvitie,61.47005,23.74827
2518,2518,Leirintäkatu ,61.47019,23.74097
2520,2520,Härmälän koulu,61.47061,23.73265
2558,2558,Valmetinkatu,61.47076,23.72505
7000,7000,Karhumäki,61.47020,23.72092
7002,7002,Pakkalankulma,61.47001,23.70977
7004,7004,Hannunpolku,61.47080,23.69740
7006,7006,Nuolialan koulu,61.47010,23.68884
7008,7008,Loukonlahti,61.46926,23.68279
7010,7010,Haikka,61.46893,23.66869
7012,7012,Kurikka,61.46747,23.65673
7014,7014,Kuntakeskus,61.46606,23.64778
7016,7016,Suupantori,61.46559,23.64216
7018,7018,Terveyskeskus,61.46273,23.63980
7020,7020,Nuijamiehentie,61.45539,23.64119
7022,7022,Teollisuustie,61.44799,23.63769
7024,7024,Heikkiläntie,61.44509,23.63386
7026,7026,Koivisto,61.43899,23.63110
7028,7028,Lasikaari,61.43441,23.62775
7030,7030,Sorkkala,61.43032,23.62066
7032,7032,Pauni,61.42624,23.61283
7035,7035,Lentoasema,61.42064,23.61443
3699,3699,Hervantakeskus,61.45063,23.84961
3717,3717,Ahvenisraitti,61.44979,23.84381
3598,3598,Länsi-Hervanta,61.44798,23.83508
3579,3579,Hervannan lukio,61.44985,23.83196
3577,3577,Opiskelijankatu 23,61.45144,23.83887
3575,3575,Valtaraitti,61.45274,23.84450
3737,3737,Tieteenkatu 7,61.45486,23.85018
3519,3519,Tieteenkatu,61.45791,23.84893
3517,3517,Lukonmäki et.,61.46290,23.84406
3515,3515,Lukonmäki pohj.,61.46555,23.84253
3951,3951,Laulunmaa,61.47653,23.83484
3513,3513,Turtola,61.47973,23.83114
3511,3511,Vuohenoja,61.48589,23.82901
3999,3999,Puhhoonlahti,61.48762,23.82145
3509,3509,Järvensivun koulu,61.48751,23.81220
3507,3507,Tiirantaival,61.48772,23.80724
3505,3505,Kuikankatu,61.49007,23.79736
3503,3503,Iidesranta,61.49113,23.79195
3557,3557,Iidesaukio,61.49123,23.78538
0601,0601,Tietotalo,61.49117,23.77632
0523,0523,Linja-autoasema,61.49380,23.77054
0519,0519,Koskipuisto I,61.49751,23.76606
0001,0001,Keskustori M,61.49751,23.76151
3633,3633,Hermia,61.44960,23.87165
3701,3701,Hermiankatu ,61.45008,23.86954
3715,3715,Hermiankatu 7,61.44822,23.86207
3703,3703,Hermiankatu 3,61.44751,23.85895
3735,3735,TTY,61.44975,23.85422
3733,3733,Hervannan valtaväylä,61.45226,23.85193
3731,3731,Vaajakatu,61.45337,23.85046
3737,3737,Tieteenkatu 7,61.45486,23.85018
3519,3519,Tieteenkatu,61.45791,23.84893
3569,3569,Ammattikoulu,61.45836,23.85152
3587,3587,Kierikankatu,61.46486,23.85535
3585,3585,Lukonmäenkatu,61.46780,23.85321
3549,3549,Nuijatie,61.47607,23.84764
4017,4017,Kivikirkko,61.48497,23.84556
4015,4015,Aakkula,61.48633,23.83958
4013,4013,Messukylänkatu,61.48647,23.83152
4011,4011,Vuohensilta,61.48677,23.82513
4007,4007,Tilhentie,61.49148,23.81040
4005,4005,Kalevantie,61.49298,23.80567
4003,4003,Takojankatu,61.49420,23.80112
4001,4001,Tarkonpuisto,61.49518,23.79377
0565,0565,Yliopisto,61.49514,23.78135
0561,0561,Tampere-talo,61.49671,23.77995
0509,0509,Itsenäisyydenkatu 3,61.49901,23.77738
0505,0505,Rautatieasema H,61.49852,23.77061
0501,0501,Koskipuisto A,61.49821,23.76525
0036,0036,Keskustori B,61.49769,23.75899
0018,0018,Tuulensuu B,61.49724,23.75317
0024,0024,Metso,61.49772,23.75017
0028,0028,Pyynikintori,61.49799,23.74248
1500,1500,Ammattikoulu,61.49863,23.73551
1502,1502,Tipotie,61.49888,23.72763
1504,1504,Rajaportti,61.50212,23.72090
1506,1506,Pulteri,61.50433,23.71473
1508,1508,Ahjola,61.50516,23.70968
1510,1510,Pispalantori,61.50641,23.69943
1512,1512,Hyhkynkatu,61.50744,23.69116
1514,1514,Haapalinna,61.50875,23.68172
1518,1518,Epilä,61.50837,23.67131
1520,1520,Pispalan vt 138,61.50767,23.66525
1522,1522,Winterin alue,61.50468,23.66087
1524,1524,Kaarila,61.50250,23.65675
1526,1526,Nokiantie 36,61.50107,23.65011
1528,1528,Tesoman vt 26,61.50204,23.64296
1530,1530,Kokkolankatu,61.50288,23.63473
1610,1610,Terveysasema,61.50532,23.63037
1612,1612,Tesoman koulu,61.50743,23.62762
1614,1614,Sitarinkatu,61.50985,23.62563
1616,1616,Tarhamäenkatu,61.51095,23.62895
1618,1618,Pyydyspohjankatu,61.51350,23.63291
1620,1620,Suoniemenkatu,61.51592,23.62901
1665,1665,Lamminpään koulu,61.51820,23.62657
1663,1663,Rauhantie,61.52118,23.62585
1673,1673,Lamminpään hautausmaa,61.52317,23.62597
6000,6000,Palstatie,61.52553,23.62378
6002,6002,Hatolantie,61.52583,23.61741
6004,6004,Kaivokuja,61.52502,23.61403
6006,6006,Kallenkuja,61.52734,23.60720
6008,6008,Käyräkuja,61.52917,23.60167
6010,6010,Tanhuatie,61.53023,23.59732
6012,6012,Särkitie,61.53243,23.60049
6014,6014,Pohjanpolku,61.53460,23.60317
6016,6016,Harjutie,61.53735,23.60386
6018,6018,Tornitie,61.53966,23.60242
6020,6020,Erkontie,61.54604,23.59288
6025,6025,Ylöjärvi Matkatie,61.54869,23.59801
